frame,time_s,center_x,center_y,radius_px
173,1.73e-05,30.14285659790039,29.714284896850586,16.369558334350586
174,1.74e-05,30.164505004882812,29.558347702026367,16.268665313720703
175,1.75e-05,30.158672332763672,29.71586799621582,16.35701560974121
176,1.76e-05,30.19154167175293,29.634328842163086,16.473846435546875
177,1.77e-05,30.149999618530273,29.600000381469727,16.504114151000977
178,1.78e-05,30.205883026123047,29.441177368164062,16.406749725341797
179,1.79e-05,30.2025203704834,29.659664154052734,16.470460891723633
180,1.8e-05,30.133333206176758,29.5,16.492555618286133
181,1.81e-05,30.200748443603516,29.417705535888672,16.405357360839844
182,1.82e-05,30.200748443603516,29.417705535888672,16.405357360839844
183,1.83e-05,30.200748443603516,29.417705535888672,16.405357360839844
184,1.84e-05,30.214828491210938,29.4372615814209,16.397079467773438
185,1.85e-05,30.260000228881836,29.5,16.370731353759766
186,1.86e-05,30.260000228881836,29.5,16.370731353759766
187,1.87e-05,30.260000228881836,29.5,16.370731353759766
188,1.88e-05,30.260000228881836,29.5,16.370731353759766
189,1.89e-05,30.28443145751953,29.533931732177734,16.356616973876953
190,1.9e-05,30.104328155517578,29.479907989501953,16.299842834472656
191,1.91e-05,30.220338821411133,29.389829635620117,16.439422607421875
192,1.92e-05,30.103960037231445,29.48019790649414,16.300004959106445
193,1.93e-05,30.21002197265625,29.47441291809082,16.571468353271484
194,1.94e-05,30.154605865478516,29.353618621826172,16.43270492553711
195,1.95e-05,30.153125762939453,29.3515625,16.43358612060547
196,1.96e-05,30.214828491210938,29.4372615814209,16.397079467773438
197,1.97e-05,30.21065902709961,29.431472778320312,16.39952850341797
198,1.98e-05,30.158384323120117,29.312110900878906,16.418109893798828
199,1.99e-05,30.140552520751953,29.61520767211914,16.439685821533203
200,2e-05,30.006622314453125,29.37417221069336,16.404376983642578
201,2.01e-05,30.229257583618164,29.35152816772461,16.499183654785156
202,2.02e-05,30.043378829956055,29.363014221191406,16.363170623779297
203,2.03e-05,30.089040756225586,29.376712799072266,16.377052307128906
204,2.04e-05,29.810810089111328,29.432432174682617,16.577716827392578
205,2.05e-05,30.099079132080078,29.30645179748535,16.441099166870117
206,2.06e-05,30.14130401611328,29.33514404296875,16.440649032592773
207,2.07e-05,30.0,29.5,16.37843894958496
